Season,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2001,COL,2179,6394,213,923,874,132,8.00%,16.10%,0.191,0.322,0.292,0.354,0.483,0.357,,95,2.6,-41.9,102.6,26.5
1998,CLE,1852,6376,198,850,811,143,9.90%,16.60%,0.176,0.302,0.272,0.347,0.448,0.347,,103,2,29.1,20.9,26.5
1955,CHW,1960,6000,116,725,677,69,9.50%,9.90%,0.12,0.282,0.268,0.344,0.388,0.332,,97,0.8,-20.1,70.7,26.5
1965,PIT,2086,6249,111,675,631,51,6.70%,16.10%,0.117,0.303,0.265,0.317,0.382,0.309,,95,-3.8,-38.6,87.4,26.5
2003,NYY,2180,6431,230,877,845,98,10.60%,16.20%,0.182,0.295,0.271,0.356,0.453,0.351,,115,-0.3,119.4,-72,26.5
1990,TOR,1679,6223,167,767,729,111,8.50%,15.60%,0.155,0.291,0.265,0.328,0.419,0.333,,107,-0.7,49.5,8.4,26.5
1934,NYG,1777,5934,126,760,716,19,6.80%,8.90%,0.13,0.286,0.275,0.329,0.405,0.337,,97,1.3,-18.2,94.4,26.5
1955,BOS,1822,6131,137,755,709,43,11.50%,11.90%,0.138,0.281,0.264,0.351,0.402,0.34,,96,7.2,-25.2,70.4,26.4
2003,PHI,2227,6333,166,791,757,72,10.30%,18.20%,0.158,0.301,0.261,0.343,0.419,0.332,,100,1.2,1.3,59.1,26.4
1988,MIN,1812,6181,151,759,710,107,8.50%,13.50%,0.147,0.296,0.274,0.34,0.421,0.34,,108,-7.5,50.8,-5.6,26.4
2017,CHC,2420,6283,223,822,785,62,9.90%,22.30%,0.182,0.302,0.255,0.338,0.437,0.331,,101,-6.8,4.8,47.4,26.4
1971,LAD,1992,6155,95,663,631,76,7.90%,12.30%,0.104,0.291,0.266,0.325,0.37,0.315,,101,1.7,8.2,31.2,26.4
1925,STL,1661,5936,109,828,752,70,7.50%,7.00%,0.146,0.309,0.299,0.356,0.445,0.366,,102,4.3,22.5,49.7,26.4
2003,HOU,2390,6320,191,805,763,66,8.80%,16.20%,0.169,0.289,0.263,0.336,0.431,0.333,,97,10.9,-15.9,76.6,26.4
1941,STL,1809,6152,70,734,664,47,8.80%,8.80%,0.106,0.291,0.272,0.34,0.377,0.338,,98,6.5,-4.8,81.1,26.4
1977,BAL,1894,6173,148,719,677,90,9.10%,15.30%,0.132,0.289,0.261,0.329,0.393,0.321,,103,2,26.8,24.2,26.4
1990,NYM,2107,6182,172,775,734,110,8.70%,13.80%,0.152,0.273,0.256,0.323,0.408,0.325,,103,6.7,30,4.9,26.4
1955,MIL,1782,5920,182,743,699,42,8.50%,12.40%,0.166,0.272,0.261,0.326,0.427,0.334,,105,2,35.9,57,26.4
2018,CLE,2413,6300,216,818,786,135,8.80%,18.90%,0.176,0.291,0.259,0.332,0.434,0.33,,106,13.7,55.1,-12.7,26.3
2019,OAK,2363,6269,257,845,800,49,9.20%,21.30%,0.199,0.282,0.249,0.327,0.448,0.327,,107,-1.7,55.3,-10.5,26.3
1967,CHC,1920,6148,128,702,642,63,8.30%,14.80%,0.127,0.278,0.251,0.316,0.378,0.31,,94,-2.1,-40.7,73.8,26.3
1983,STL,2242,6242,83,679,636,207,8.70%,14.10%,0.115,0.305,0.27,0.335,0.384,0.321,,100,5.2,6.7,44,26.3
1986,SFG,2251,6212,114,698,637,148,8.60%,17.50%,0.122,0.295,0.253,0.322,0.375,0.309,,95,-8.2,-42.2,97.7,26.3
1999,TEX,1807,6389,230,945,897,111,9.60%,14.70%,0.186,0.313,0.293,0.361,0.479,0.363,,109,-2.1,74.6,-20.4,26.3
2014,WSN,2265,6216,152,686,635,101,8.30%,21.00%,0.14,0.303,0.253,0.321,0.393,0.317,,99,15.3,8.4,42.4,26.2
1921,DET,1705,6293,58,887,793,95,9.20%,5.90%,0.118,0.331,0.316,0.385,0.433,0.379,,110,0.6,86.5,-31.3,26.2
1994,HOU,1504,4500,120,602,573,124,8.80%,16.00%,0.167,0.311,0.278,0.347,0.445,0.343,,109,5.5,60.3,58.4,26.2
1919,CIN,1423,5214,20,578,489,143,7.80%,7.10%,0.079,0.283,0.263,0.327,0.342,0.323,,106,1.7,32.1,57.8,26.1
2006,SDP,2396,6287,161,731,698,123,9.00%,17.60%,0.154,0.299,0.263,0.332,0.416,0.325,,99,5.2,-5,65.1,26.1
1987,SFG,2285,6250,205,783,731,126,8.20%,17.50%,0.17,0.288,0.26,0.324,0.43,0.326,,101,-18.6,-7.4,56.4,26.1
2013,STL,2341,6202,125,783,745,45,7.80%,17.90%,0.133,0.314,0.269,0.332,0.401,0.322,,104,-9.1,21,35,26.1
1967,SFG,2109,6205,140,652,604,22,8.40%,15.80%,0.127,0.274,0.245,0.313,0.372,0.308,,96,-3.2,-27.4,54.1,26.1
1905,PIT,1511,5790,22,692,564,202,6.60%,,0.084,,0.266,0.32,0.35,0.324,,97,2.1,-16.4,56.5,26.1
2015,HOU,2333,6073,230,729,691,121,8.00%,22.90%,0.187,0.292,0.25,0.315,0.437,0.325,,108,8.1,66.8,-19.6,26.1
1933,PHA,1673,6050,139,875,831,34,10.30%,10.20%,0.156,0.302,0.285,0.362,0.441,0.371,,109,-8.3,66,-27.7,26
2001,ARI,2180,6349,208,818,776,71,9.20%,16.60%,0.175,0.294,0.267,0.341,0.442,0.336,,97,-2.6,-31.4,88.6,26
2019,TBR,2459,6285,217,769,730,94,8.60%,23.80%,0.178,0.306,0.254,0.325,0.431,0.321,,104,8.4,40.6,0.4,26
1922,NYY,1602,5998,95,757,677,62,8.30%,8.80%,0.124,0.305,0.287,0.353,0.411,0.355,,98,0.9,-11.8,83.8,26
1978,MON,2104,6064,121,633,589,80,6.50%,14.50%,0.125,0.281,0.254,0.306,0.379,0.308,,91,0.5,-58.3,109,26
1998,SEA,1858,6331,234,859,823,115,8.80%,17.10%,0.192,0.302,0.276,0.345,0.468,0.353,,109,5.9,77.8,-30.5,26
1952,NYG,1916,5891,151,722,663,30,9.10%,11.40%,0.144,0.269,0.256,0.329,0.399,0.339,,100,-0.6,2.6,49.3,26
1974,OAK,2001,6048,132,689,637,164,9.40%,14.50%,0.127,0.27,0.247,0.321,0.373,0.319,,106,-1.5,36.1,16,26
1979,LAD,2060,6188,183,739,713,106,9.00%,13.50%,0.149,0.279,0.263,0.331,0.412,0.33,,104,4.6,36.6,8.3,26
1927,CHC,1657,6018,74,750,692,65,8.00%,8.20%,0.116,0.302,0.284,0.346,0.4,0.348,,101,8.8,13,57.9,26
2000,CHW,1791,6410,216,978,926,119,9.20%,15.00%,0.184,0.309,0.286,0.356,0.47,0.357,,106,5.3,58.5,-9.6,25.9
1938,CIN,1670,5878,110,723,679,19,6.20%,8.80%,0.129,0.291,0.277,0.327,0.406,0.337,,102,1.8,15.3,75.4,25.9
1999,NYY,1891,6416,193,900,855,104,11.20%,15.20%,0.171,0.309,0.282,0.366,0.453,0.358,,111,-4.9,90.4,-39.9,25.9
1910,DET,1582,5746,28,679,548,249,8.00%,,0.083,,0.261,0.329,0.344,0.332,,106,8.3,45.6,17.3,25.9
2004,SDP,2316,6313,139,768,722,52,9.00%,14.40%,0.141,0.301,0.273,0.342,0.414,0.329,,103,8.1,30.5,22.3,25.9
2006,PHI,2410,6509,216,865,823,92,9.60%,18.50%,0.18,0.302,0.267,0.347,0.447,0.341,,100,18.5,15.5,34.6,25.9
1972,LAD,1853,5903,98,584,543,82,8.10%,13.30%,0.104,0.283,0.256,0.319,0.36,0.31,,98,3.9,-8.1,40.9,25.8
1924,PIT,1609,5833,44,724,658,181,6.30%,6.80%,0.113,0.304,0.287,0.336,0.4,0.342,,93,10.4,-37.4,106.8,25.8
2010,SFG,2354,6143,162,697,660,55,7.90%,17.90%,0.151,0.293,0.257,0.321,0.408,0.32,,98,-18.3,-31.6,95.2,25.8
1983,CHW,1969,6164,157,800,762,165,8.50%,14.40%,0.15,0.285,0.262,0.329,0.413,0.33,,102,12.3,23.3,24,25.8
1973,SFG,2077,6274,161,739,684,112,9.40%,14.60%,0.144,0.287,0.262,0.335,0.407,0.333,,102,4.9,21,26.3,25.8
2017,STL,2416,6219,196,761,728,81,9.50%,21.70%,0.17,0.304,0.256,0.334,0.426,0.326,,101,2,8.4,39.8,25.8
1946,STL,1865,6020,81,712,665,58,8.80%,8.90%,0.115,0.283,0.265,0.334,0.381,0.339,,101,8.5,17.2,47.8,25.8
1964,NYY,1999,6358,162,730,688,54,8.20%,15.40%,0.134,0.278,0.253,0.317,0.387,0.312,,97,5.9,-17.7,87.1,25.7
2002,MIN,2289,6196,167,768,731,79,7.60%,17.60%,0.165,0.309,0.272,0.332,0.437,0.334,,101,-5.6,1.1,45,25.7
1993,DET,1701,6505,178,899,853,104,11.80%,17.20%,0.159,0.313,0.275,0.362,0.434,0.354,,114,-3.8,104.8,-54.8,25.7
2013,BAL,2246,6144,212,745,719,79,6.80%,18.30%,0.171,0.288,0.26,0.313,0.431,0.323,,101,13.8,16.4,22.7,25.7
1907,PIT,1548,5650,19,634,485,264,8.30%,,0.07,,0.254,0.325,0.324,0.322,,103,15.2,33.6,5.6,25.7
1916,NYG,1672,5686,42,597,500,206,6.30%,9.80%,0.09,0.277,0.253,0.307,0.343,0.316,,103,-6.2,13.2,31.7,25.7
1971,DET,2062,6196,179,701,652,35,8.70%,13.80%,0.15,0.271,0.254,0.325,0.405,0.33,,104,-7.6,16.4,27.3,25.7
1965,LAD,2014,6107,78,608,548,172,8.10%,14.60%,0.091,0.279,0.245,0.312,0.335,0.291,,91,5.9,-53.6,100,25.7
2013,ATL,2293,6133,181,688,656,64,8.80%,22.60%,0.153,0.3,0.249,0.321,0.402,0.318,,102,-5.7,3.8,50.1,25.6
1970,MIN,2200,6143,153,744,694,57,8.20%,14.70%,0.141,0.288,0.262,0.327,0.403,0.325,,97,-7.4,-29.8,89.6,25.6
1988,PIT,2189,6091,110,651,619,119,9.10%,15.50%,0.123,0.278,0.247,0.317,0.369,0.308,,98,-3.6,-15.6,67.6,25.6
1922,CIN,1651,5943,45,766,686,130,7.30%,6.40%,0.106,0.312,0.296,0.353,0.401,0.351,,99,-19.6,-31,75,25.6
1961,SFG,1959,5887,183,773,709,79,8.60%,13.00%,0.159,0.276,0.264,0.329,0.423,0.331,,101,-4.5,1.3,54.8,25.6
2017,MIA,2399,6248,194,778,743,91,7.80%,20.50%,0.163,0.313,0.267,0.331,0.431,0.325,,101,1.4,9,36.2,25.6
1920,CHW,1568,6030,37,794,695,109,7.90%,5.80%,0.107,0.311,0.295,0.357,0.402,0.358,,101,3,11.4,32.9,25.6
2019,CHC,2429,6195,256,814,783,45,9.40%,23.60%,0.2,0.297,0.252,0.331,0.452,0.33,,100,-2.2,0.6,65.1,25.6
1946,BRO,2058,6136,55,701,642,100,11.30%,9.40%,0.1,0.284,0.26,0.348,0.361,0.34,,101,16.6,20.3,39.4,25.6
2021,STL,2384,6001,198,706,678,89,8.00%,22.30%,0.168,0.287,0.244,0.313,0.412,0.312,,97,11.7,-13.4,66.8,25.6
1936,DET,1651,6232,94,921,848,73,10.40%,7.40%,0.131,0.315,0.3,0.377,0.431,0.375,,101,-11.2,-5.5,45,25.5
1929,NYG,1756,6060,136,897,829,85,8.00%,6.70%,0.14,0.301,0.296,0.358,0.436,0.362,,97,14.6,-11.1,75.5,25.5
1986,HOU,2199,6095,125,654,613,163,8.80%,15.00%,0.126,0.284,0.255,0.322,0.381,0.311,,97,2,-18.3,68.8,25.5
1915,SLT,1660,5992,23,634,546,195,9.60%,8.20%,0.084,0.285,0.261,0.34,0.345,0.335,,99,35,30.3,39.8,25.5
1979,PIT,2189,6332,148,775,710,180,7.60%,13.50%,0.143,0.296,0.272,0.33,0.416,0.327,,98,11.1,-5.1,41.4,25.5
2013,LAD,2336,6145,138,649,618,78,7.70%,18.60%,0.133,0.308,0.264,0.326,0.396,0.317,,103,-8,14.7,37.2,25.5
1938,WAS,1732,6158,85,814,768,65,9.30%,6.10%,0.124,0.302,0.293,0.362,0.416,0.36,,99,-5.8,-16.8,44.5,25.5
2006,TOR,2329,6241,199,809,778,65,8.20%,14.50%,0.179,0.306,0.284,0.348,0.463,0.349,,107,-15,43.6,3.4,25.4
1983,HOU,2082,6173,97,643,615,164,8.40%,14.10%,0.118,0.286,0.257,0.32,0.375,0.309,,97,-5.7,-27.1,73,25.4
1909,BOS,1576,5574,20,596,474,215,6.20%,,0.07,,0.263,0.321,0.333,0.323,,105,3.4,31.8,26.8,25.4
2015,CHC,2406,6200,171,689,657,95,9.10%,24.50%,0.154,0.305,0.244,0.321,0.398,0.313,,96,15.1,-15.8,63.6,25.4
1956,CHW,1942,6122,128,776,726,70,10.10%,10.70%,0.13,0.282,0.267,0.349,0.397,0.336,,99,4.6,-6.9,50,25.4
2014,SFG,2353,6087,132,665,636,56,7.00%,20.50%,0.133,0.304,0.255,0.311,0.388,0.308,,99,0.5,-5.1,52.8,25.4
1931,STL,1758,5989,60,815,751,114,7.20%,7.90%,0.125,0.305,0.286,0.342,0.411,0.347,,99,21.6,16.5,54.1,25.4
2013,OAK,2313,6209,186,767,725,74,9.20%,19.00%,0.165,0.289,0.254,0.327,0.419,0.327,,108,10,66.2,-32.4,25.4
1992,BAL,1731,6292,148,705,680,89,10.30%,13.10%,0.138,0.279,0.259,0.34,0.398,0.334,,107,-2.3,43.9,-5.6,25.4
2004,CHC,2290,6281,235,789,755,66,7.80%,17.20%,0.19,0.292,0.268,0.328,0.458,0.336,,98,-12,-26.2,74.9,25.4
1995,SFG,1992,5603,152,652,610,138,8.40%,18.90%,0.151,0.292,0.253,0.323,0.404,0.32,,93,6.3,-45,112.3,25.4
1933,NYG,1775,5939,82,636,598,31,6.30%,8.00%,0.097,0.276,0.263,0.312,0.361,0.314,,95,5.1,-29.9,103.2,25.4
1932,BRO,1798,5944,110,752,703,61,6.50%,9.70%,0.137,0.301,0.283,0.334,0.42,0.342,,102,11.1,27.4,43.8,25.3
1906,PIT,1508,5686,12,622,497,162,7.50%,,0.066,,0.261,0.324,0.327,0.321,,102,-8.1,6.1,36.5,25.3
1903,CLE,1307,5225,31,639,550,175,5.00%,,0.108,,0.265,0.308,0.373,0.322,,104,4.1,31.1,42.1,25.3
1908,SLB,1572,5726,20,543,447,126,6.00%,,0.065,,0.245,0.296,0.31,0.298,,100,-9.2,-10.4,53.5,25.3
1988,SFG,2188,6178,113,670,629,121,8.90%,16.60%,0.12,0.284,0.248,0.318,0.368,0.308,,100,-10.2,-7.9,53.4,25.3
1980,PHI,2182,6269,117,728,674,140,7.50%,11.30%,0.13,0.288,0.27,0.327,0.4,0.324,,100,2.6,4.2,41.7,25.3
1985,BAL,1905,6212,214,818,773,69,9.70%,14.60%,0.167,0.279,0.263,0.336,0.43,0.34,,111,-5.3,76.8,-37.3,25.3
1918,CIN,1305,4762,15,530,447,128,6.40%,6.40%,0.089,0.296,0.278,0.33,0.366,0.34,,115,0.4,71.9,0.1,25.3
1915,CWH,1707,5788,50,641,558,161,7.70%,10.00%,0.095,0.282,0.257,0.32,0.352,0.327,,103,28.6,46.6,25.8,25.3
1976,KCR,1913,6199,65,713,656,218,7.80%,10.50%,0.103,0.291,0.269,0.327,0.371,0.322,,103,3,25.6,17.8,25.3
1969,ATL,2019,6098,141,691,640,59,8.00%,10.90%,0.121,0.271,0.258,0.321,0.38,0.317,,92,-4.2,-56.8,88.1,25.3
1992,ATL,2251,6143,138,682,641,126,8.00%,15.00%,0.134,0.28,0.254,0.316,0.388,0.316,,95,0.8,-32.3,79.2,25.2
1926,CHW,1703,6035,32,731,666,123,9.10%,6.30%,0.102,0.307,0.289,0.36,0.39,0.354,,99,-11.3,-22.6,55.4,25.2
1996,NYM,2235,6220,147,746,697,97,7.20%,17.20%,0.143,0.307,0.27,0.324,0.412,0.321,,94,-3.6,-50.7,120.2,25.2
1932,WAS,1792,6141,61,840,776,70,8.20%,7.20%,0.124,0.3,0.284,0.347,0.408,0.345,,96,-8.3,-41.1,78.8,25.2
1952,PHI,1709,5874,93,657,606,60,9.20%,9.10%,0.116,0.275,0.26,0.332,0.376,0.332,,98,1.7,-11.2,56.5,25.2
2007,MIL,2330,6238,231,801,774,96,8.00%,18.20%,0.194,0.289,0.262,0.329,0.456,0.337,,100,7.4,7.7,44.1,25.1
1927,PHA,1842,6089,56,841,767,101,9.10%,5.30%,0.111,0.316,0.304,0.373,0.415,0.369,,102,-11.6,8,30.6,25.1
1976,LAD,2017,6125,91,608,561,144,7.90%,12.10%,0.099,0.273,0.251,0.313,0.349,0.305,,91,6.9,-53.3,91.2,25.1
1992,PIT,2253,6269,106,693,656,110,9.10%,13.90%,0.126,0.283,0.255,0.324,0.381,0.316,,100,0.2,-3.6,43,25.1
1905,CHC,1466,5810,12,667,522,267,7.70%,,0.07,,0.245,0.313,0.314,0.308,,90,14.9,-51.3,84.3,25.1
1970,PIT,2054,6231,130,729,676,66,7.10%,14.00%,0.136,0.297,0.27,0.325,0.406,0.323,,95,1.6,-38.8,68.9,25.1
1943,WAS,1679,5965,47,666,619,142,10.10%,9.60%,0.093,0.278,0.254,0.336,0.347,0.331,,102,5.9,21.6,13.9,25.1
1991,TEX,1981,6441,177,829,774,102,9.30%,16.10%,0.154,0.301,0.27,0.341,0.424,0.342,,112,0.4,93.5,-62.2,25.1
1916,DET,1766,5969,17,673,560,190,9.10%,8.90%,0.086,0.291,0.264,0.337,0.35,0.335,,103,-0.5,20.3,14.9,25
2010,STL,2347,6241,150,736,689,79,8.70%,16.50%,0.139,0.296,0.263,0.332,0.402,0.322,,99,1.8,-6.8,59.6,25
1996,ATL,2227,6293,197,773,735,83,8.40%,16.40%,0.162,0.297,0.27,0.333,0.432,0.333,,99,-4.2,-12.5,80.4,25
1931,WAS,1719,6186,49,843,788,72,7.80%,7.40%,0.115,0.304,0.286,0.346,0.4,0.346,,97,-14.8,-39,67.3,25
1985,NYM,2073,6248,134,695,651,117,8.70%,14.00%,0.128,0.281,0.257,0.323,0.385,0.313,,99,0.4,-6.1,42.7,25
1969,SFG,2050,6375,136,713,657,71,11.20%,16.50%,0.119,0.275,0.242,0.334,0.361,0.318,,98,4.5,-11.5,25.5,25
2018,ATL,2377,6251,175,759,717,90,8.20%,20.60%,0.161,0.302,0.257,0.324,0.417,0.319,,96,12.6,-18.5,68,25
1984,SDP,2132,6119,109,686,629,152,7.70%,13.20%,0.112,0.284,0.259,0.317,0.371,0.308,,95,3.2,-32.5,70.1,24.9
1979,CAL,1667,6311,164,866,808,100,9.30%,13.40%,0.148,0.304,0.282,0.351,0.429,0.347,,113,0.7,102,-68.2,24.9
1962,MIN,2067,6362,185,798,758,33,10.20%,12.90%,0.152,0.274,0.26,0.338,0.412,0.335,,99,-0.7,-5.1,65.6,24.9
1984,TOR,1913,6286,143,750,702,193,7.30%,13.00%,0.148,0.296,0.273,0.331,0.421,0.335,,103,11.8,35.2,4,24.9
1972,NYY,1899,5793,103,557,526,71,8.50%,11.90%,0.108,0.269,0.249,0.316,0.357,0.308,,105,0.6,29.2,27.3,24.9
2010,BOS,2327,6356,211,818,782,68,9.20%,17.90%,0.183,0.299,0.268,0.339,0.451,0.345,,109,-7.2,59.7,-43.4,24.9
1998,BAL,2017,6304,214,817,783,86,9.40%,14.30%,0.174,0.291,0.273,0.347,0.447,0.347,,109,-3.8,66,-29.3,24.9
1963,CHW,2018,6242,114,683,648,64,9.10%,14.40%,0.114,0.279,0.25,0.323,0.365,0.309,,98,4.4,-13.1,77.5,24.9
1904,NYH,1481,5724,27,598,499,163,5.50%,,0.088,,0.259,0.308,0.347,0.315,,98,-2.4,-12.7,56.5,24.9
1988,CIN,2127,6063,122,641,588,207,7.90%,15.20%,0.122,0.273,0.246,0.309,0.368,0.303,,91,15.7,-45.4,93.4,24.9
2014,DET,2330,6202,155,757,731,106,7.10%,18.40%,0.15,0.319,0.277,0.331,0.426,0.331,,112,-7.3,73,-41.9,24.8
1978,CIN,2245,6194,136,710,669,137,10.30%,14.50%,0.138,0.282,0.256,0.334,0.393,0.328,,103,5.9,23.9,3.7,24.8
1979,TEX,1860,6194,140,750,718,79,7.40%,9.80%,0.13,0.289,0.278,0.334,0.409,0.33,,101,-2.8,3.8,35.6,24.8
1915,BKF,1679,5711,36,647,561,249,8.30%,11.00%,0.092,0.3,0.268,0.336,0.36,0.339,,104,46.1,71.3,-4.6,24.8
1996,STL,2258,6177,142,759,711,149,8.00%,17.60%,0.14,0.307,0.267,0.33,0.407,0.322,,93,2.2,-55,121.8,24.8
1972,BAL,1862,5676,100,519,483,78,8.90%,16.50%,0.11,0.261,0.229,0.302,0.339,0.294,,93,2.2,-38.9,109.9,24.8
1954,NYG,1956,5936,186,732,701,30,8.80%,9.50%,0.159,0.264,0.264,0.332,0.424,0.344,,96,1.1,-33,88.2,24.8
1905,PHA,1468,5721,24,623,511,190,6.60%,,0.084,,0.255,0.31,0.338,0.315,,103,2.6,21.3,23.8,24.8
1984,BOS,1716,6251,181,810,767,38,8.00%,13.50%,0.158,0.303,0.283,0.341,0.441,0.347,,111,-2.8,78.5,-42.7,24.8
1938,BOS,1656,6003,98,902,860,55,10.80%,7.70%,0.135,0.314,0.299,0.378,0.434,0.376,,100,-14,-13.1,39.9,24.8
1965,BAL,2032,6138,125,641,596,67,8.60%,14.80%,0.124,0.264,0.238,0.307,0.363,0.299,,92,2,-56.3,108.6,24.7
1954,STL,2053,6127,119,799,748,63,9.50%,9.60%,0.14,0.294,0.281,0.35,0.421,0.352,,100,-1.1,-4.4,51.6,24.7
2004,BOS,2417,6515,222,949,912,68,10.10%,18.30%,0.19,0.319,0.282,0.36,0.472,0.358,,114,-17.1,97.9,-66.6,24.7
1984,BAL,1957,6187,160,681,647,51,10.00%,14.30%,0.139,0.273,0.252,0.328,0.391,0.324,,101,-4.1,4.5,37.6,24.7
1928,PIT,1664,6037,52,837,768,64,7.20%,5.80%,0.112,0.324,0.309,0.364,0.421,0.363,,102,9.5,24.2,35.9,24.7
1980,BOS,1671,6200,162,757,717,79,7.70%,11.60%,0.153,0.299,0.283,0.34,0.436,0.345,,106,-4.1,42,-12.5,24.7
1959,CHW,2022,6054,97,669,620,113,9.60%,10.50%,0.114,0.266,0.25,0.327,0.364,0.311,,92,3.5,-51.6,120.1,24.7
2009,MIL,2321,6296,182,785,757,68,9.70%,19.60%,0.164,0.305,0.263,0.341,0.426,0.336,,103,-9.6,10.2,38.9,24.6
1961,BAL,2066,6211,149,691,638,39,9.40%,14.50%,0.136,0.278,0.254,0.326,0.39,0.32,,95,-2.4,-39.6,90.5,24.6
2004,HOU,2391,6269,187,803,756,89,9.40%,15.90%,0.17,0.293,0.267,0.342,0.436,0.336,,98,10,-7.1,48.7,24.6
2008,MIL,2227,6252,198,750,722,108,8.80%,19.20%,0.179,0.287,0.253,0.325,0.431,0.329,,97,8.9,-11.7,58.8,24.6
1908,CLE,1575,5770,18,570,458,177,6.30%,,0.07,,0.239,0.297,0.309,0.299,,98,1.4,-10.2,44.2,24.6
1913,CHC,1707,5775,59,720,617,181,9.60%,11.00%,0.112,0.284,0.257,0.335,0.369,0.341,,102,-5,7.2,23.1,24.6
1985,DET,1842,6223,202,729,703,75,8.50%,14.90%,0.17,0.269,0.253,0.318,0.424,0.326,,103,-3.1,21,13.7,24.6
1949,CLE,1839,5958,112,675,640,44,10.10%,9.00%,0.124,0.272,0.26,0.339,0.384,0.341,,94,-9.3,-52.2,96.4,24.6
2015,NYM,2325,6145,177,683,654,51,7.90%,21.00%,0.156,0.287,0.244,0.312,0.4,0.309,,98,6.2,-6.8,48.7,24.6
2016,HOU,2334,6204,198,724,689,102,8.90%,23.40%,0.17,0.298,0.247,0.319,0.417,0.317,,101,-5.4,2.8,25.4,24.6
1909,CHC,1537,5696,20,632,496,187,7.40%,,0.077,,0.245,0.308,0.322,0.312,,97,0.4,-20.5,52.6,24.6
2019,NYM,2445,6290,242,791,767,56,8.20%,22.00%,0.185,0.299,0.257,0.328,0.442,0.325,,105,-17,24.3,28,24.6
1930,STL,1756,6204,104,1004,942,72,7.70%,8.00%,0.157,0.331,0.314,0.372,0.471,0.376,,101,13.9,24,32.7,24.6
1916,BRO,1657,5833,28,585,493,187,6.10%,9.40%,0.084,0.287,0.261,0.313,0.345,0.32,,99,5.2,2.1,29.4,24.5
1908,DET,1515,5668,19,645,520,165,5.60%,,0.084,,0.263,0.312,0.347,0.322,,109,-1.7,45.5,-22.2,24.5
1978,BOS,1600,6316,172,796,738,74,9.20%,13.20%,0.157,0.285,0.267,0.336,0.424,0.342,,106,-4,36.4,-9.8,24.5
1983,MIL,1655,6240,132,764,732,101,7.60%,10.70%,0.141,0.292,0.277,0.333,0.418,0.333,,109,-0.1,65.3,-35.8,24.5
1945,BRO,1845,6184,57,795,722,75,10.20%,7.00%,0.105,0.286,0.271,0.35,0.376,0.349,,101,11.5,17.2,15.7,24.5
2021,OAK,2353,6104,199,743,698,88,8.90%,22.10%,0.168,0.278,0.238,0.317,0.406,0.313,,103,11.8,34.4,2.8,24.5
1996,CHW,1786,6497,195,898,860,105,10.80%,14.30%,0.166,0.303,0.281,0.36,0.447,0.352,,106,0.9,55,-40.5,24.5
2000,ATL,2039,6275,179,810,758,148,9.50%,16.10%,0.157,0.302,0.271,0.346,0.429,0.339,,96,4.6,-33.9,83.2,24.5
1904,PIT,1473,5714,15,675,522,178,6.80%,,0.08,,0.258,0.316,0.338,0.316,,100,-1.4,0.6,26,24.5
1978,DET,1672,6299,129,714,666,90,8.90%,11.00%,0.12,0.288,0.271,0.339,0.392,0.332,,103,4.2,27.8,-0.6,24.5
2008,ATL,2407,6368,130,753,721,58,9.70%,16.10%,0.138,0.309,0.27,0.345,0.408,0.332,,99,-5.8,-12.5,54.2,24.5
2016,STL,2400,6223,225,779,745,35,8.50%,21.20%,0.187,0.294,0.255,0.325,0.443,0.329,,105,-17.1,18.9,24.4,24.5
1942,NYG,1736,5881,109,675,632,39,9.50%,8.60%,0.107,0.264,0.254,0.33,0.361,0.332,,100,4.9,7,54.8,24.4
1959,NYY,1955,5980,153,687,651,45,7.60%,13.80%,0.142,0.28,0.26,0.319,0.402,0.32,,101,2.2,9.1,56.5,24.4
1989,NYY,1733,6096,130,698,657,137,8.20%,13.60%,0.122,0.295,0.269,0.331,0.391,0.326,,104,1.5,29.2,0,24.4
1940,DET,1776,6183,134,888,829,66,10.70%,9.00%,0.156,0.299,0.286,0.366,0.442,0.37,,103,-6.8,14.3,10.1,24.4
2009,BOS,2317,6344,212,872,822,126,10.40%,17.70%,0.184,0.301,0.27,0.352,0.454,0.351,,106,-7.7,40.7,-19.8,24.4
1971,STL,2097,6300,95,739,686,124,8.60%,12.00%,0.11,0.3,0.275,0.338,0.385,0.327,,105,6.7,38.4,-28.5,24.4
2000,CIN,2313,6373,200,825,794,100,8.80%,15.60%,0.173,0.299,0.274,0.343,0.447,0.341,,94,3.3,-46.5,89.9,24.3
2022,MIL,2363,6122,219,725,703,96,9.40%,23.90%,0.174,0.279,0.235,0.315,0.409,0.317,,103,5.6,30.5,-4.9,24.3
1980,CIN,2069,6209,113,707,668,156,8.60%,13.70%,0.124,0.289,0.262,0.327,0.386,0.319,,98,13.3,-2.9,41,24.3
1993,STL,2288,6279,118,758,724,153,9.40%,14.00%,0.123,0.302,0.272,0.341,0.395,0.329,,99,2.1,-2.7,23.5,24.3
2016,SFG,2404,6271,130,715,675,79,9.10%,17.70%,0.14,0.299,0.258,0.329,0.398,0.315,,96,-2.8,-34.8,75,24.3
1972,HOU,1839,5936,134,708,660,111,8.80%,15.30%,0.135,0.286,0.258,0.326,0.393,0.326,,106,3.7,42.3,-35.3,24.3
